"recipe_key","status","input_requirement","output_requirement","lead_time_minutes","availability_mode","minimum_batch","production_multiple","parallel_capacity","shelf_life_days","implementation_note","open_business_decision"
"prefried_mini_tequenos","confirmed_for_initial_implementation","inventory_item_1 x 25 piezas","inventory_item_2 x 1 servicio de 25","240","scheduled_recipe","salida_real_en_servicios","1 servicio","not_configured_non_blocking","90","Los ítems 1 y 2 son las identidades canónicas seleccionadas. Objetivo 10 orientativo; no reserva crudo ni fuerza reposición.",""
"prefried_empanadas","confirmed_for_initial_implementation","inventory_item_6 x 20 piezas","inventory_item_14 x 1 servicio de 20","240","scheduled_recipe","salida_real_en_servicios","1 servicio","not_configured_non_blocking","90","La bolsa recibida de 150 no obliga a prefritar todo el empaque. Objetivo 10 orientativo; no reserva crudo ni fuerza reposición.",""
"prefried_cachitas","confirmed_for_initial_implementation","inventory_item_13 x 20 piezas","inventory_item_15 x 1 servicio de 20","240","scheduled_recipe","salida_real_en_servicios","1 servicio","not_configured_non_blocking","90","La bolsa recibida de 150 no obliga a prefritar todo el empaque. Objetivo 10 orientativo; no reserva crudo ni fuerza reposición.",""
"prefried_mandocas","confirmed_for_initial_implementation","inventory_item_5 x 25 piezas","inventory_item_16 x 1 servicio de 25","240","scheduled_recipe","salida_real_en_servicios","1 servicio","not_configured_non_blocking","90","La bolsa recibida de 100 no obliga a prefritar todo el empaque. Objetivo 10 orientativo; no reserva crudo ni fuerza reposición.",""
"prefried_bombys","confirmed_for_initial_implementation","inventory_item_19 x 25 piezas","inventory_item_17 x 1 servicio de 25","240","scheduled_recipe","salida_real_en_servicios","1 servicio","not_configured_non_blocking","90","La bolsa recibida de 150 no obliga a prefritar todo el empaque. Objetivo 10 orientativo; no reserva crudo ni fuerza reposición.",""
"prefried_tequenos_regulares","confirmed_for_initial_implementation","inventory_item_20 x 5 piezas","inventory_item_18 x 1 servicio de 5","240","scheduled_recipe","servicios_solicitados","1 servicio","not_configured_non_blocking","90","Solo bajo demanda; objetivo 0; anticipación 240 minutos. El asesor agenda con advertencia y el Master decide.",""
"tartara_from_bases","confirmed","inventory_item_3 x 1 kg real de mayonesa + inventory_item_4 x 0.050 recipiente equivalente","salida real declarada en recipientes y porciones","0","immediate_recipe","variable","salida real","not_required_initially","","No se fuerza un rendimiento matemático; se registran los recipientes realmente obtenidos.",""
"tartara_5oz_from_bulk","confirmed","inventory_item_7 x 0.125 recipiente equivalente","inventory_item_8 x 1 porción de 5oz","0","immediate_recipe","1 porción","1 porción","not_required_initially","","Rendimiento conservador confirmado: 8 porciones por recipiente tipo kilo.",""
"tartara_2oz_from_bulk","confirmed","inventory_item_7 x 0.050 recipiente equivalente","inventory_item_21 x 1 porción de 2oz","0","immediate_recipe","1 porción","1 porción","not_required_initially","","Derivación proporcional del rendimiento conservador: 20 porciones por recipiente.",""
"tartara_1oz_from_bulk","confirmed","inventory_item_7 x 0.025 recipiente equivalente","inventory_item_9 x 1 porción de 1oz","0","immediate_recipe","1 porción","1 porción","not_required_initially","","Derivación proporcional del rendimiento conservador: 40 porciones por recipiente.",""
"mostaza_miel_5oz_from_bulk","confirmed_requires_new_input_item","planned_item:mostaza_miel_bulk_1kg x 0.125 recipiente","inventory_item_23 x 1 porción de 5oz","0","immediate_recipe","1 porción","1 porción","not_required_initially","","Rendimiento confirmado: 8 porciones por envase de 1 kg.","Agregar deliberadamente el ítem físico a granel usando la estructura existente."
"mostaza_miel_2oz_from_bulk","confirmed_requires_new_input_item","planned_item:mostaza_miel_bulk_1kg x 0.050 recipiente","inventory_item_22 x 1 porción de 2oz","0","immediate_recipe","1 porción","1 porción","not_required_initially","","Rendimiento derivado: 20 porciones por envase de 1 kg.","Agregar deliberadamente el ítem físico a granel usando la estructura existente."
