"source_project_id","extracted_at_ve","product_component_id","parent_product_id","parent_product_name","parent_product_type","parent_is_active","parent_active_inventory_link_count","component_product_id","component_product_name","component_product_type","component_is_active","component_mode","quantity","is_required","counts_toward_detail_limit","sort_order","notes","component_policy_candidate","canonical_resolution_candidate","review_required","review_reasons","canonical_quantity_decision","canonical_selection_rule","decision_notes","canonical_decision_status","canonical_resolution_decision"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","373","108","Beneficio del mes","product","false","0","5","Mini Tequeños Fritos","service","true","selectable","1.000","true","true","1","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada","sum_selected_fried_pieces=25","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","374","108","Beneficio del mes","product","false","0","8","Empanadas Fritas","service","true","selectable","1.000","true","true","2","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada","sum_selected_fried_pieces=25","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","375","108","Beneficio del mes","product","false","0","11","Cachitas Fritas","service","true","selectable","1.000","true","true","3","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada","sum_selected_fried_pieces=25","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","376","108","Beneficio del mes","product","false","0","14","Mandocas Fritas","service","true","selectable","1.000","true","true","4","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada","sum_selected_fried_pieces=25","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","377","108","Beneficio del mes","product","false","0","17","Bombys Fritos","service","true","selectable","1.000","true","true","5","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada","sum_selected_fried_pieces=25","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","645","149","Chiki Mix (10 und)","gambit","false","0","2","Salsa Tártara 1oz","product","true","fixed","1.000","false","false","1","","self","expand_selected_component_then_apply_component_policy","false","","1 porción solo si fue elegida","optional; outside_piece_total","","confirmed","inventory_item_9:Salsa Tártara 1oz"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","646","149","Chiki Mix (10 und)","gambit","false","0","5","Mini Tequeños Fritos","service","true","selectable","1.000","true","true","2","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada por el cliente","sum_selected_fried_pieces=10","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","647","149","Chiki Mix (10 und)","gambit","false","0","8","Empanadas Fritas","service","true","selectable","1.000","true","true","3","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada por el cliente","sum_selected_fried_pieces=10","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","648","149","Chiki Mix (10 und)","gambit","false","0","11","Cachitas Fritas","service","true","selectable","1.000","true","true","4","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada por el cliente","sum_selected_fried_pieces=10","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","649","149","Chiki Mix (10 und)","gambit","false","0","14","Mandocas Fritas","service","true","selectable","1.000","true","true","5","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada por el cliente","sum_selected_fried_pieces=10","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","650","149","Chiki Mix (10 und)","gambit","false","0","17","Bombys Fritos","service","true","selectable","1.000","true","true","6","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada por el cliente","sum_selected_fried_pieces=10","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","621","147","Chiki Mix (6 und)","gambit","false","0","2","Salsa Tártara 1oz","product","true","fixed","1.000","false","false","1","","self","expand_selected_component_then_apply_component_policy","false","","1 porción solo si fue elegida","optional; outside_piece_total","","confirmed","inventory_item_9:Salsa Tártara 1oz"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","622","147","Chiki Mix (6 und)","gambit","false","0","5","Mini Tequeños Fritos","service","true","selectable","1.000","true","true","2","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada por el cliente","sum_selected_fried_pieces=6","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","623","147","Chiki Mix (6 und)","gambit","false","0","8","Empanadas Fritas","service","true","selectable","1.000","true","true","3","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada por el cliente","sum_selected_fried_pieces=6","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","624","147","Chiki Mix (6 und)","gambit","false","0","11","Cachitas Fritas","service","true","selectable","1.000","true","true","4","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada por el cliente","sum_selected_fried_pieces=6","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","625","147","Chiki Mix (6 und)","gambit","false","0","14","Mandocas Fritas","service","true","selectable","1.000","true","true","5","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada por el cliente","sum_selected_fried_pieces=6","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","626","147","Chiki Mix (6 und)","gambit","false","0","17","Bombys Fritos","service","true","selectable","1.000","true","true","6","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada por el cliente","sum_selected_fried_pieces=6","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","633","148","Chiki Mix (8 und)","gambit","false","0","2","Salsa Tártara 1oz","product","true","fixed","1.000","false","false","1","","self","expand_selected_component_then_apply_component_policy","false","","1 porción solo si fue elegida","optional; outside_piece_total","","confirmed","inventory_item_9:Salsa Tártara 1oz"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","634","148","Chiki Mix (8 und)","gambit","false","0","5","Mini Tequeños Fritos","service","true","selectable","1.000","true","true","2","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada por el cliente","sum_selected_fried_pieces=8","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","635","148","Chiki Mix (8 und)","gambit","false","0","8","Empanadas Fritas","service","true","selectable","1.000","true","true","3","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada por el cliente","sum_selected_fried_pieces=8","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","636","148","Chiki Mix (8 und)","gambit","false","0","11","Cachitas Fritas","service","true","selectable","1.000","true","true","4","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada por el cliente","sum_selected_fried_pieces=8","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","637","148","Chiki Mix (8 und)","gambit","false","0","14","Mandocas Fritas","service","true","selectable","1.000","true","true","5","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada por el cliente","sum_selected_fried_pieces=8","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","638","148","Chiki Mix (8 und)","gambit","false","0","17","Bombys Fritos","service","true","selectable","1.000","true","true","6","","direct","expand_selected_component_then_apply_component_policy","false","","cantidad entera seleccionada por el cliente","sum_selected_fried_pieces=8","","confirmed","selected_fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","537","65","Combo Baby Mix Frito (25 und)","combo","true","5","8","Empanadas Fritas","service","true","fixed","5.000","true","false","1","","direct","expand_selected_component_then_apply_component_policy","true","parent_also_has_inventory_links","5.000 piezas","fixed_in_current_composition; snapshot_on_order","","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","538","65","Combo Baby Mix Frito (25 und)","combo","true","5","11","Cachitas Fritas","service","true","fixed","5.000","true","false","2","","direct","expand_selected_component_then_apply_component_policy","true","parent_also_has_inventory_links","5.000 piezas","fixed_in_current_composition; snapshot_on_order","","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","539","65","Combo Baby Mix Frito (25 und)","combo","true","5","14","Mandocas Fritas","service","true","fixed","5.000","true","false","3","","direct","expand_selected_component_then_apply_component_policy","true","parent_also_has_inventory_links","5.000 piezas","fixed_in_current_composition; snapshot_on_order","","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","540","65","Combo Baby Mix Frito (25 und)","combo","true","5","5","Mini Tequeños Fritos","service","true","fixed","5.000","true","false","4","","direct","expand_selected_component_then_apply_component_policy","true","parent_also_has_inventory_links","5.000 piezas","fixed_in_current_composition; snapshot_on_order","","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","541","65","Combo Baby Mix Frito (25 und)","combo","true","5","17","Bombys Fritos","service","true","fixed","5.000","true","false","5","","direct","expand_selected_component_then_apply_component_policy","true","parent_also_has_inventory_links","5.000 piezas","fixed_in_current_composition; snapshot_on_order","","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","542","65","Combo Baby Mix Frito (25 und)","combo","true","5","24","Salsa Tártara 5oz","product","true","fixed","1.000","true","false","6","","unconfigured","expand_selected_component_then_apply_component_policy","true","parent_also_has_inventory_links | component_has_no_inventory_resolution","1 porción fija","required","","confirmed","inventory_item_8:Salsa Tártara 5oz"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","835","101","Combo Baby Mix Frito (25 und) Ajustado","product","true","1","5","Mini Tequeños Fritos","service","true","fixed","5.000","true","false","1","","direct","expand_selected_component_then_apply_component_policy","true","parent_also_has_inventory_links","5.000 piezas","fixed_in_current_composition; snapshot_on_order","La composición ajustada puede cambiar; la orden conserva el snapshot real.","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","836","101","Combo Baby Mix Frito (25 und) Ajustado","product","true","1","11","Cachitas Fritas","service","true","fixed","10.000","true","false","2","","direct","expand_selected_component_then_apply_component_policy","true","parent_also_has_inventory_links","10.000 piezas","fixed_in_current_composition; snapshot_on_order","La composición ajustada puede cambiar; la orden conserva el snapshot real.","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","837","101","Combo Baby Mix Frito (25 und) Ajustado","product","true","1","14","Mandocas Fritas","service","true","fixed","5.000","true","false","3","","direct","expand_selected_component_then_apply_component_policy","true","parent_also_has_inventory_links","5.000 piezas","fixed_in_current_composition; snapshot_on_order","La composición ajustada puede cambiar; la orden conserva el snapshot real.","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","838","101","Combo Baby Mix Frito (25 und) Ajustado","product","true","1","17","Bombys Fritos","service","true","fixed","5.000","true","false","4","","direct","expand_selected_component_then_apply_component_policy","true","parent_also_has_inventory_links","5.000 piezas","fixed_in_current_composition; snapshot_on_order","La composición ajustada puede cambiar; la orden conserva el snapshot real.","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","839","101","Combo Baby Mix Frito (25 und) Ajustado","product","true","1","24","Salsa Tártara 5oz","product","true","fixed","1.000","true","false","5","","unconfigured","expand_selected_component_then_apply_component_policy","true","parent_also_has_inventory_links | component_has_no_inventory_resolution","1 porción fija","required","La composición ajustada puede cambiar; la orden conserva el snapshot real.","confirmed","inventory_item_8:Salsa Tártara 5oz"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","543","67","Combo Rumba Mix Frito (76 und)","combo","true","0","5","Mini Tequeños Fritos","service","true","fixed","20.000","true","false","1","","direct","expand_selected_component_then_apply_component_policy","false","","20.000 piezas","fixed_in_current_composition; snapshot_on_order","","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","544","67","Combo Rumba Mix Frito (76 und)","combo","true","0","17","Bombys Fritos","service","true","fixed","20.000","true","false","2","","direct","expand_selected_component_then_apply_component_policy","false","","20.000 piezas","fixed_in_current_composition; snapshot_on_order","","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","545","67","Combo Rumba Mix Frito (76 und)","combo","true","0","8","Empanadas Fritas","service","true","fixed","12.000","true","false","3","","direct","expand_selected_component_then_apply_component_policy","false","","12.000 piezas","fixed_in_current_composition; snapshot_on_order","","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","546","67","Combo Rumba Mix Frito (76 und)","combo","true","0","11","Cachitas Fritas","service","true","fixed","12.000","true","false","4","","direct","expand_selected_component_then_apply_component_policy","false","","12.000 piezas","fixed_in_current_composition; snapshot_on_order","","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","547","67","Combo Rumba Mix Frito (76 und)","combo","true","0","14","Mandocas Fritas","service","true","fixed","12.000","true","false","5","","direct","expand_selected_component_then_apply_component_policy","false","","12.000 piezas","fixed_in_current_composition; snapshot_on_order","","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","548","67","Combo Rumba Mix Frito (76 und)","combo","true","0","24","Salsa Tártara 5oz","product","true","fixed","1.000","true","false","6","","unconfigured","expand_selected_component_then_apply_component_policy","true","component_has_no_inventory_resolution","1 porción fija","required","","confirmed","inventory_item_8:Salsa Tártara 5oz"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","830","104","Combo Rumba Mix Frito (76 und) Ajustado","product","true","1","5","Mini Tequeños Fritos","service","true","fixed","20.000","true","false","1","","direct","expand_selected_component_then_apply_component_policy","true","parent_also_has_inventory_links","20.000 piezas","fixed_in_current_composition; snapshot_on_order","La composición ajustada puede cambiar; la orden conserva el snapshot real.","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","831","104","Combo Rumba Mix Frito (76 und) Ajustado","product","true","1","11","Cachitas Fritas","service","true","fixed","24.000","true","false","2","","direct","expand_selected_component_then_apply_component_policy","true","parent_also_has_inventory_links","24.000 piezas","fixed_in_current_composition; snapshot_on_order","La composición ajustada puede cambiar; la orden conserva el snapshot real.","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","832","104","Combo Rumba Mix Frito (76 und) Ajustado","product","true","1","14","Mandocas Fritas","service","true","fixed","12.000","true","false","3","","direct","expand_selected_component_then_apply_component_policy","true","parent_also_has_inventory_links","12.000 piezas","fixed_in_current_composition; snapshot_on_order","La composición ajustada puede cambiar; la orden conserva el snapshot real.","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","833","104","Combo Rumba Mix Frito (76 und) Ajustado","product","true","1","17","Bombys Fritos","service","true","fixed","20.000","true","false","4","","direct","expand_selected_component_then_apply_component_policy","true","parent_also_has_inventory_links","20.000 piezas","fixed_in_current_composition; snapshot_on_order","La composición ajustada puede cambiar; la orden conserva el snapshot real.","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","834","104","Combo Rumba Mix Frito (76 und) Ajustado","product","true","1","24","Salsa Tártara 5oz","product","true","fixed","1.000","true","false","5","","unconfigured","expand_selected_component_then_apply_component_policy","true","parent_also_has_inventory_links | component_has_no_inventory_resolution","1 porción fija","required","La composición ajustada puede cambiar; la orden conserva el snapshot real.","confirmed","inventory_item_8:Salsa Tártara 5oz"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","531","66","Combo Sexy Mix Frito (50 und)","combo","true","0","5","Mini Tequeños Fritos","service","true","fixed","10.000","true","false","1","","direct","expand_selected_component_then_apply_component_policy","false","","10.000 piezas","fixed_in_current_composition; snapshot_on_order","","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","532","66","Combo Sexy Mix Frito (50 und)","combo","true","0","8","Empanadas Fritas","service","true","fixed","10.000","true","false","2","","direct","expand_selected_component_then_apply_component_policy","false","","10.000 piezas","fixed_in_current_composition; snapshot_on_order","","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","533","66","Combo Sexy Mix Frito (50 und)","combo","true","0","11","Cachitas Fritas","service","true","fixed","10.000","true","false","3","","direct","expand_selected_component_then_apply_component_policy","false","","10.000 piezas","fixed_in_current_composition; snapshot_on_order","","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","534","66","Combo Sexy Mix Frito (50 und)","combo","true","0","14","Mandocas Fritas","service","true","fixed","10.000","true","false","4","","direct","expand_selected_component_then_apply_component_policy","false","","10.000 piezas","fixed_in_current_composition; snapshot_on_order","","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","535","66","Combo Sexy Mix Frito (50 und)","combo","true","0","17","Bombys Fritos","service","true","fixed","10.000","true","false","5","","direct","expand_selected_component_then_apply_component_policy","false","","10.000 piezas","fixed_in_current_composition; snapshot_on_order","","confirmed","fried_piece_to_family_raw_piece_one_to_one"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:51","536","66","Combo Sexy Mix Frito (50 und)","combo","true","0","24","Salsa Tártara 5oz","product","true","fixed","1.000","true","false","6","","unconfigured","expand_selected_component_then_apply_component_policy","true","component_has_no_inventory_resolution","1 porción fija","required","","confirmed","inventory_item_8:Salsa Tártara 5oz"
