"source_project_id","extracted_at_ve","inventory_item_id","inventory_item_name","inventory_kind","inventory_group","unit_name","packaging_name","packaging_size","current_stock_units","low_stock_threshold","is_active","notes","active_product_link_count","linked_product_specs","active_output_recipe_count","output_recipe_specs","active_input_recipe_count","input_recipe_specs","duplicate_name_count","canonical_role_candidate","review_required","review_reasons","canonical_role_decision","canonical_unit_decision","canonical_packaging_conversion","canonical_availability_mode","canonical_critical_threshold","canonical_opening_count","decision_notes","canonical_control_mode_candidate","canonical_control_mode_decision","canonical_count_frequency","canonical_target_stock","canonical_reorder_quantity","canonical_pieces_per_service","canonical_shelf_life_days","canonical_decision_status","canonical_tracking_mode","canonical_consumption_triggers","canonical_identity_target"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:44","22","Aderezo Mostaza Miel 2oz","finished_stock","other","pieza","","","-27","","true","","1","25::Aderezo Mostaza Miel 2oz::self_link::qty=1","0","","0","","1","finished_stock_or_intermediate_review","true","negative_stock_requires_physical_baseline","prepared_portion","porción_2oz","1 vaso listo","immediate_recipe","","pending_physical_baseline","Falta el ítem canónico del aderezo mostaza miel a granel de 1 kg. La porción es canónica; falta agregar el ítem mostaza miel a granel de 1 kg.","sale_deduction","transactional","per_shift","","","","","confirmed_requires_new_recipe_input","transactional","sale","inventory_item_22"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:44","23","Aderezo Mostaza Miel 5oz","finished_stock","other","pieza","","","-66","","true","","1","26::Aderezo Mostaza Miel 5oz::self_link::qty=1","0","","0","","1","finished_stock_or_intermediate_review","true","negative_stock_requires_physical_baseline","prepared_portion","porción_5oz","1 vaso listo","immediate_recipe","","pending_physical_baseline","Falta el ítem canónico del aderezo mostaza miel a granel de 1 kg. La porción es canónica; falta agregar el ítem mostaza miel a granel de 1 kg.","sale_deduction","transactional","per_shift","","","","","confirmed_requires_new_recipe_input","transactional","sale","inventory_item_23"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:44","52","Bombys Beneficio del mes","finished_stock","other","pieza","","","-3","","true","","1","103::Bombys Beneficio del mes::self_link::qty=1","0","","0","","1","finished_stock_or_intermediate_review","true","negative_stock_requires_physical_baseline","legacy_commercial_alias_not_physical","not_applicable","not_applicable","derived_from_canonical_target","","not_applicable","No debe mantener saldo independiente; conservar historia y redirigir productos al objetivo canónico.","sale_deduction","not_tracked","not_applicable","","","","","confirmed_requires_identity_migration","not_tracked","","inventory_item_19:Bombys Crudos"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:44","19","Bombys Crudos","finished_stock","other","pieza","","","-41139","","true","","7","19::Bombys Crudos::self_link::qty=1 | 17::Bombys Fritos::recipe::qty=25 | 65::Combo Baby Mix Frito (25 und)::recipe::qty=5 | 60::Mixto Bombys + Mandocas Frito::recipe::qty=12 | 56::Mixto Cachitas + Bombys Frito::recipe::qty=12 | 58::Mixto Empanadas + Bombys Frito::recipe::qty=12 | 53::Mixto Mini Tequeños + Bombys Frito::recipe::qty=12","0","","0","","1","finished_stock_or_intermediate_review","true","negative_stock_requires_physical_baseline","raw_material","pieza","bolsa=150; unidades_sueltas_permitidas","on_hand_only","","pending_physical_baseline","Materia prima canónica de Bombys. Se vende cruda al mayor y también alimenta fritos y prefritos; todas las salidas consumen este mismo saldo.","sale_deduction","transactional","per_shift","","","","","confirmed","transactional","sale|production","inventory_item_19"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:44","60","Bombys Crudos (Beneficio del Mes)","finished_stock","other","pieza","","","0","","true","","1","118::Bombys Crudos (Beneficio del Mes)::self_link::qty=1","0","","0","","1","finished_stock_or_intermediate_review","false","","legacy_commercial_alias_not_physical","not_applicable","not_applicable","derived_from_canonical_target","","not_applicable","No debe mantener saldo independiente; conservar historia y redirigir productos al objetivo canónico.","sale_deduction","not_tracked","not_applicable","","","","","confirmed_requires_identity_migration","not_tracked","","inventory_item_19:Bombys Crudos"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:44","54","Bombys Fritos Beneficio Destacado del mes","finished_stock","other","pieza","","","-2","","true","","1","106::Bombys Fritos Beneficio Destacado del mes::self_link::qty=1","0","","0","","1","finished_stock_or_intermediate_review","true","negative_stock_requires_physical_baseline","legacy_commercial_alias_not_physical","not_applicable","not_applicable","derived_from_canonical_target","","not_applicable","No debe mantener saldo independiente; conservar historia y redirigir productos al objetivo canónico.","sale_deduction","not_tracked","not_applicable","","","","","confirmed_requires_identity_migration","not_tracked","","inventory_item_19:Bombys Crudos"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:44","17","Bombys Pre-Fritos","finished_stock","prefried","pieza","","","-18","","true","","1","18::Bombys Pre-Fritos::self_link::qty=1","0","","0","","1","finished_stock_or_intermediate_review","true","negative_stock_requires_physical_baseline","prepared_prefried_service","servicio","1 servicio=25 piezas","scheduled_recipe","stock<10 servicios","pending_physical_baseline","Servicio prefrito canónico. Objetivo orientativo 10 servicios; no reserva crudo ni obliga a reponer. Preparación, enfriamiento y empacado: 240 minutos. Vida útil de referencia: 90 días.","sale_deduction","transactional","per_shift","10","reponer_hasta_10_servicios","25","90","confirmed","transactional","sale","inventory_item_17"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:44","59","Bombys Pre-Fritos (Beneficio del Mes)","finished_stock","other","pieza","","","0","","true","","1","116::Bombys Pre-Fritos (Beneficio del Mes)::self_link::qty=1","0","","0","","1","finished_stock_or_intermediate_review","false","","legacy_commercial_alias_not_physical","not_applicable","not_applicable","derived_from_canonical_target","","not_applicable","No debe mantener saldo independiente; conservar historia y redirigir productos al objetivo canónico.","sale_deduction","not_tracked","not_applicable","","","","","confirmed_requires_identity_migration","not_tracked","","inventory_item_17:Bombys Pre-Fritos"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:44","13","Cachitas Crudas","finished_stock","other","pieza","Bolsas","150","-43812","3","true","","7","13::Cachitas Crudas::self_link::qty=1 | 11::Cachitas Fritas::recipe::qty=20 | 65::Combo Baby Mix Frito (25 und)::recipe::qty=5 | 56::Mixto Cachitas + Bombys Frito::recipe::qty=10 | 55::Mixto Cachitas + Empanadas Frito::recipe::qty=10 | 57::Mixto Cachitas + Mandocas Frito::recipe::qty=10 | 52::Mixto Mini Tequeños + Cachitas Frito::recipe::qty=10","0","","0","","1","finished_stock_or_intermediate_review","true","negative_stock_requires_physical_baseline","raw_material","pieza","bolsa=150; unidades_sueltas_permitidas","on_hand_only","","pending_physical_baseline","Materia prima canónica de cachitas. Se vende cruda al mayor y también alimenta fritos y prefritos; todas las salidas consumen este mismo saldo.","sale_deduction","transactional","per_shift","","","","","confirmed","transactional","sale|production","inventory_item_13"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:44","63","Cachitas Crudas (Beneficio del Mes)","finished_stock","other","pieza","","","0","","true","","1","121::Cachitas Crudas (Beneficio del Mes)::self_link::qty=1","0","","0","","1","finished_stock_or_intermediate_review","false","","legacy_commercial_alias_not_physical","not_applicable","not_applicable","derived_from_canonical_target","","not_applicable","No debe mantener saldo independiente; conservar historia y redirigir productos al objetivo canónico.","sale_deduction","not_tracked","not_applicable","","","","","confirmed_requires_identity_migration","not_tracked","","inventory_item_13:Cachitas Crudas"
