"source_project_id","extracted_at_ve","product_id","sku","product_name","is_active","product_type","is_combo","units_per_service","is_detail_editable","detail_units_limit","is_combo_component_selectable","inventory_enabled","legacy_is_inventory_item","legacy_inventory_kind","legacy_inventory_unit_name","legacy_packaging_name","legacy_packaging_size","legacy_product_stock","legacy_low_stock_threshold","legacy_inventory_deduction_mode","legacy_inventory_group","component_count","required_component_count","selectable_component_count","component_specs","active_link_count","self_link_count","recipe_link_count","active_link_specs","canonical_policy_candidate","review_required","review_reasons","canonical_policy_decision","canonical_inventory_target","canonical_quantity","canonical_deduction_stage","canonical_availability_mode","canonical_recipe_or_source","canonical_lead_time_minutes","canonical_critical_threshold","decision_notes","canonical_decision_status"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:40","65","BABYMIX_F_25","Combo Baby Mix Frito (25 und)","true","combo","false","0","false","25","false","true","true","finished_good","pieza","","","0","","composition","other","6","6","0","8::Empanadas Fritas::fixed::qty=5.000::required=t | 11::Cachitas Fritas::fixed::qty=5.000::required=t | 14::Mandocas Fritas::fixed::qty=5.000::required=t | 5::Mini Tequeños Fritos::fixed::qty=5.000::required=t | 17::Bombys Fritos::fixed::qty=5.000::required=t | 24::Salsa Tártara 5oz::fixed::qty=1.000::required=t","5","0","5","19::Bombys Crudos::recipe::qty=5::unit=pieza | 13::Cachitas Crudas::recipe::qty=5::unit=pieza | 6::Empanadas Crudas::recipe::qty=5::unit=pieza | 1::Mini tequeño crudo::recipe::qty=5::unit=pieza | 5::Mandocas Crudas::recipe::qty=5::unit=pieza","review_ambiguous","true","components_and_active_inventory_links | product_type_is_combo_mismatch","components","composición fija declarada + salsa tártara 5oz","según componentes fijos","by_component","component_projection","expansión a piezas crudas y salsa física","","","Los enlaces directos paralelos del padre deben desactivarse para evitar doble descuento.","confirmed"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:40","67","RUMBAMIX_F_76","Combo Rumba Mix Frito (76 und)","true","combo","false","0","false","76","false","false","false","finished_good","pieza","","","0","","self","other","6","6","0","5::Mini Tequeños Fritos::fixed::qty=20.000::required=t | 17::Bombys Fritos::fixed::qty=20.000::required=t | 8::Empanadas Fritas::fixed::qty=12.000::required=t | 11::Cachitas Fritas::fixed::qty=12.000::required=t | 14::Mandocas Fritas::fixed::qty=12.000::required=t | 24::Salsa Tártara 5oz::fixed::qty=1.000::required=t","0","0","0","","components","true","inventory_enabled_false_requires_explicit_policy | product_type_is_combo_mismatch","components","composición fija declarada + salsa tártara 5oz","según componentes fijos","by_component","component_projection","expansión a piezas crudas y salsa física","","","Los enlaces directos paralelos del padre deben desactivarse para evitar doble descuento.","confirmed"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:40","66","SEXYMIX_F_50","Combo Sexy Mix Frito (50 und)","true","combo","false","0","false","50","false","false","false","finished_good","pieza","","","0","","self","other","6","6","0","5::Mini Tequeños Fritos::fixed::qty=10.000::required=t | 8::Empanadas Fritas::fixed::qty=10.000::required=t | 11::Cachitas Fritas::fixed::qty=10.000::required=t | 14::Mandocas Fritas::fixed::qty=10.000::required=t | 17::Bombys Fritos::fixed::qty=10.000::required=t | 24::Salsa Tártara 5oz::fixed::qty=1.000::required=t","0","0","0","","components","true","inventory_enabled_false_requires_explicit_policy | product_type_is_combo_mismatch","components","composición fija declarada + salsa tártara 5oz","según componentes fijos","by_component","component_projection","expansión a piezas crudas y salsa física","","","Los enlaces directos paralelos del padre deben desactivarse para evitar doble descuento.","confirmed"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:40","1","SINGLE_10","Single Pack (10 und)","true","combo","false","0","true","10","false","true","true","finished_good","pieza","","","0","","composition","other","6","5","5","5::Mini Tequeños Fritos::selectable::qty=1.000::required=t | 8::Empanadas Fritas::selectable::qty=1.000::required=t | 11::Cachitas Fritas::selectable::qty=1.000::required=t | 14::Mandocas Fritas::selectable::qty=1.000::required=t | 17::Bombys Fritos::selectable::qty=1.000::required=t | 2::Salsa Tártara 1oz::fixed::qty=1.000::required=f","0","0","0","","components","true","product_type_is_combo_mismatch","components","selección libre de 10 piezas fritas + salsa tártara 1oz opcional","total seleccionable=10","by_component","component_projection","snapshot de selección real del pedido","","","La salsa solo consume inventario cuando el cliente la solicita.","confirmed"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:40","61","SINGLE_6","Single Pack (6 und)","true","combo","false","0","true","6","false","true","true","finished_good","pieza","","","0","","composition","other","6","5","5","5::Mini Tequeños Fritos::selectable::qty=1.000::required=t | 8::Empanadas Fritas::selectable::qty=1.000::required=t | 11::Cachitas Fritas::selectable::qty=1.000::required=t | 14::Mandocas Fritas::selectable::qty=1.000::required=t | 17::Bombys Fritos::selectable::qty=1.000::required=t | 2::Salsa Tártara 1oz::fixed::qty=1.000::required=f","0","0","0","","components","true","product_type_is_combo_mismatch","components","selección libre de 6 piezas fritas + salsa tártara 1oz opcional","total seleccionable=6","by_component","component_projection","snapshot de selección real del pedido","","","La salsa solo consume inventario cuando el cliente la solicita.","confirmed"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:40","62","SINGLE_8","Single Pack (8 und)","true","combo","false","0","true","8","false","true","true","finished_good","pieza","","","0","","composition","other","6","5","5","5::Mini Tequeños Fritos::selectable::qty=1.000::required=t | 8::Empanadas Fritas::selectable::qty=1.000::required=t | 11::Cachitas Fritas::selectable::qty=1.000::required=t | 14::Mandocas Fritas::selectable::qty=1.000::required=t | 17::Bombys Fritos::selectable::qty=1.000::required=t | 2::Salsa Tártara 1oz::fixed::qty=1.000::required=f","0","0","0","","components","true","product_type_is_combo_mismatch","components","selección libre de 8 piezas fritas + salsa tártara 1oz opcional","total seleccionable=8","by_component","component_projection","snapshot de selección real del pedido","","","La salsa solo consume inventario cuando el cliente la solicita.","confirmed"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:40","63","VIVOBOX_6","Vivo Box (6 und)","true","combo","false","0","true","6","false","true","true","finished_good","pieza","","","0","","composition","other","7","7","5","23::Salsa Tártara 2oz::fixed::qty=1.000::required=t | 89::Dondy (1 und)::fixed::qty=1.000::required=t | 5::Mini Tequeños Fritos::selectable::qty=1.000::required=t | 8::Empanadas Fritas::selectable::qty=1.000::required=t | 11::Cachitas Fritas::selectable::qty=1.000::required=t | 14::Mandocas Fritas::selectable::qty=1.000::required=t | 17::Bombys Fritos::selectable::qty=1.000::required=t","0","0","0","","components","true","product_type_is_combo_mismatch","components","selección libre de 6 piezas fritas + 1 Dondy + 1 salsa tártara 2oz","seleccionables=6; fijos fuera del total=2","by_component","component_projection","snapshot de selección y componentes fijos","","","","confirmed"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:40","64","VIVOBOX_XL_8","Vivo Box XL (8 und)","true","combo","false","0","true","8","false","true","true","finished_good","pieza","","","0","","composition","other","7","7","5","23::Salsa Tártara 2oz::fixed::qty=1.000::required=t | 89::Dondy (1 und)::fixed::qty=1.000::required=t | 5::Mini Tequeños Fritos::selectable::qty=1.000::required=t | 8::Empanadas Fritas::selectable::qty=1.000::required=t | 11::Cachitas Fritas::selectable::qty=1.000::required=t | 14::Mandocas Fritas::selectable::qty=1.000::required=t | 17::Bombys Fritos::selectable::qty=1.000::required=t","0","0","0","","components","true","product_type_is_combo_mismatch","components","selección libre de 8 piezas fritas + 1 Dondy + 1 salsa tártara 2oz","seleccionables=8; fijos fuera del total=2","by_component","component_projection","snapshot de selección y componentes fijos","","","","confirmed"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:40","134","VIVOBOX_XXL_10","Vivo Box XXL (10 und)","true","combo","false","0","true","10","false","true","true","finished_good","pieza","","","0","","composition","other","7","7","5","23::Salsa Tártara 2oz::fixed::qty=1.000::required=t | 89::Dondy (1 und)::fixed::qty=1.000::required=t | 5::Mini Tequeños Fritos::selectable::qty=1.000::required=t | 8::Empanadas Fritas::selectable::qty=1.000::required=t | 11::Cachitas Fritas::selectable::qty=1.000::required=t | 14::Mandocas Fritas::selectable::qty=1.000::required=t | 17::Bombys Fritos::selectable::qty=1.000::required=t","0","0","0","","components","true","product_type_is_combo_mismatch","components","selección libre de 10 piezas fritas + 1 Dondy + 1 salsa tártara 2oz","seleccionables=10; fijos fuera del total=2","by_component","component_projection","snapshot de selección y componentes fijos","","","","confirmed"
"hbgxqrrybonavaigaetz","2026-07-30 15:32:40","156","GAMBIT_DONDY_1_CN","Dondy (1 und) Cliente Nuevo","true","gambit","false","1","false","0","false","true","true","finished_good","pieza","","","0","","composition","other","0","0","0","","1","0","1","47::Dondys::recipe::qty=1::unit=pieza","direct","false","","direct","inventory_item_47:Dondys crudos","1 pieza","kitchen","on_hand_only","Dondy individual","","","","confirmed"
